birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1994-05-06,Sheboygan,us,dekkesa01,,Sam Dekker,USA,0
1989-03-11,Baltimore,us,delanma01,,Malcolm Delaney,USA,0
1990-09-08,Maryborough,au,dellama01,,Matthew Dellavedova,Australia,1
1985-04-16,Wau,ss,denglu01,,Luol Deng,South Sudan,1
1989-08-07,Compton,us,derozde01,,DeMar DeRozan,USA,0
2002-01-21,Paris,fr,diabamo01,,Moussa Diabaté,France,1
1997-01-21,Conakry,gn,diakima01,,Mamadi Diakite,Guinea,1
1996-09-13,Kayes,ml,diallch01,,Cheick Diallo,Mali,1
1998-07-31,Queens,us,diallha01,,Hamidou Diallo,USA,0
1982-04-16,Cormeilles-en-Parisis,fr,diawbo01,,Boris Diaw,France,1
2003-11-20,Wichita,us,dickgr01,,Gradey Dick,USA,0
1990-01-18,Kebemer,sn,dienggo01,,Gorgui Dieng,Senegal,1
2003-05-21,Villeneuve-sur-Lot,fr,diengou01,,Ousmane Dieng,France,1
1993-04-06,Los Angeles,us,dinwisp01,,Spencer Dinwiddie,USA,0
1997-01-31,Newark,us,divindo01,,Donte DiVincenzo,USA,0
1999-02-28,Ljubljana,si,doncilu01,,Luka Dončić,Slovenia,1
1996-02-18,Pasadena,us,dorsety01,,Tyler Dorsey,USA,0
1999-04-19,Montreal,ca,dortlu01,,Luguentz Dort,Canada,1
2000-01-17,Chicago,us,dosunay01,,Ayo Dosunmu,USA,0
1994-05-06,Houston,us,dotsoda01,,Damyean Dotson,USA,0
1986-03-16,Jonesboro,us,douglto01,,Toney Douglas,USA,0
2000-12-23,Conakry,gn,doumbse01,,Sekou Doumbouya,Guinea,1
1997-05-10,Upper Marlboro,us,dowtije01,,Jeff Dowtin Jr.,USA,0
1996-10-25,Columbia,us,doziepj01,,PJ Dozier,USA,0
1986-05-06,Ljubljana,si,dragigo01,,Goran Dragić,Slovenia,1
1993-08-10,Mount Vernon,us,drumman01,,Andre Drummond,USA,0
1997-06-13,Puerto Plata,do,duartch01,,Chris Duarte,Dominican Republic,1
1985-07-10,San Diego,us,dudleja01,,Jared Dudley,USA,0
1999-10-13,Providence,us,dukeda01,,David Duke Jr.,USA,0
1976-04-25,St. Croix,vi,duncati01,,Tim Duncan,US Virgin Islands,1
1980-09-15,Fort Worth,us,dunlemi02,,Mike Dunleavy,USA,0
1994-03-18,New London,us,dunnkr01,,Kris Dunn,USA,0
1988-09-29,Washington,us,duranke01,,Kevin Durant,USA,0
2003-11-18,Sharon Hill,us,durenja01,,Jalen Duren,USA,0
2001-05-10,Portsmouth,us,easonta01,,Tari Eason,USA,0
1991-10-30,Tampa,us,eddieja01,,Jarell Eddie,USA,0
2001-08-05,Atlanta,us,edwaran01,,Anthony Edwards,USA,0
1998-03-12,Houston,us,edwarca01,,Carsen Edwards,USA,0
2000-08-09,Glendale,us,edwarke02,,Kessler Edwards,USA,0
2000-06-16,Federal Way,us,ellebcj01,,CJ Elleby,USA,0
1997-01-13,Rice Lake,us,ellenhe01,,Henry Ellenson,USA,0
1987-11-29,Wynnewood,us,ellinwa01,,Wayne Ellington,USA,0
2000-01-08,Eustis,us,elliske01,,Keon Ellis,USA,0
1985-10-26,Jackson,us,ellismo01,,Monta Ellis,USA,0
1994-03-16,Yaounde,cm,embiijo01,,Joel Embiid,Cameroon,1
1990-07-01,Ventura,us,ennisja01,,James Ennis III,USA,0
1994-08-24,Brampton,ca,ennisty01,,Tyler Ennis,Canada,1
1997-02-01,Starkville,us,eubandr01,,Drew Eubanks,USA,0
1996-07-26,Greenville,us,evansja01,,Jawun Evans,USA,0
1997-06-18,Jacksonville,us,evansja02,,Jacob Evans,USA,0
1987-10-24,Crossett,us,evansje01,,Jeremy Evans,USA,0
1989-09-19,Chester,us,evansty01,,Tyreke Evans,USA,0
1995-07-13,Melbourne,au,exumda01,,Danté Exum,Australia,1
1989-10-21,Benin City,ng,ezelife01,,Festus Ezeli,Nigeria,1
1989-11-19,Newark,us,farieke01,,Kenneth Faried,USA,0
1991-07-15,Atlanta,us,favorde01,,Derrick Favors,USA,0
1995-03-29,Detroit,us,feldeka01,,Kay Felder,USA,0
1992-07-07,Pouso Alegre,br,feliccr01,,Cristiano Felício,Brazil,1
1984-06-26,Marion,us,feltora01,,Raymond Felton,USA,0
1998-05-17,Tulsa,us,fergute01,,Terrance Ferguson,USA,0
1998-08-15,Luanda,ao,fernabr01,,Bruno Fernando,Angola,1
1993-05-09,Indianapolis,us,ferreyo01,,Yogi Ferrell,USA,0
1993-05-04,Portsmouth,us,finnedo01,,Dorian Finney-Smith,USA,0
1998-05-10,Tacoma,us,flynnma01,,Malachi Flynn,USA,0
1995-12-09,Pescara,it,fontesi01,,Simone Fontecchio,Italy,1
1993-07-23,Lansing,us,forbebr01,,Bryn Forbes,USA,0
